nFrame,nS,nI,nZ,nT,pZ,pI
98,2,0,0,2,0.1,0.2
99,2,0,0,2,0.1,0.2
100,2,0,0,2,0.1,0.2
101,2,0,0,2,0.1,0.2
102,2,0,0,2,0.1,0.2
103,2,0,0,2,0.1,0.2
104,2,0,0,2,0.1,0.2
105,2,0,0,2,0.1,0.2
106,2,0,0,2,0.1,0.2
107,2,0,0,2,0.1,0.2
108,2,0,0,2,0.1,0.2
109,2,0,0,2,0.1,0.2
110,2,0,0,2,0.1,0.2
111,2,0,0,2,0.1,0.2
112,2,0,0,2,0.1,0.2
113,2,0,0,2,0.1,0.2
114,2,0,0,2,0.1,0.2
115,2,0,0,2,0.1,0.2
116,2,0,0,2,0.1,0.2
117,2,0,0,2,0.1,0.2
118,2,0,0,2,0.1,0.2
119,2,0,0,2,0.1,0.2
120,2,0,0,2,0.1,0.2
121,2,0,0,2,0.1,0.2
122,2,0,0,2,0.1,0.2
123,2,0,0,2,0.1,0.2
124,2,0,0,2,0.1,0.2
125,2,0,0,2,0.1,0.2
126,2,0,0,2,0.1,0.2
127,2,0,0,2,0.1,0.2
128,1,1,0,2,0.1,0.2
129,2,0,0,2,0.1,0.2
130,1,1,0,2,0.1,0.2
131,1,0,1,2,0.1,0.2
132,1,0,1,2,0.1,0.2
133,1,0,1,2,0.1,0.2
134,1,0,1,2,0.1,0.2
135,1,0,1,2,0.1,0.2
136,1,0,1,2,0.1,0.2
137,1,0,1,2,0.1,0.2
138,1,0,1,2,0.1,0.2
139,1,0,1,2,0.1,0.2
140,1,0,1,2,0.1,0.2
141,1,0,1,2,0.1,0.2
142,1,0,1,2,0.1,0.2
143,1,0,1,2,0.1,0.2
144,1,0,1,2,0.1,0.2
145,1,0,1,2,0.1,0.2
146,1,0,1,2,0.1,0.2
147,1,0,1,2,0.1,0.2
148,1,0,1,2,0.1,0.2
149,1,0,1,2,0.1,0.2
150,1,0,1,2,0.1,0.2
151,1,0,1,2,0.1,0.2
152,1,0,1,2,0.1,0.2
153,1,0,1,2,0.1,0.2
154,1,0,1,2,0.1,0.2
155,1,0,1,2,0.1,0.2
156,1,0,1,2,0.1,0.2
157,1,0,1,2,0.1,0.2
158,1,0,1,2,0.1,0.2
159,1,0,1,2,0.1,0.2
160,1,0,1,2,0.1,0.2
161,1,0,1,2,0.1,0.2
162,1,0,1,2,0.1,0.2
163,1,0,1,2,0.1,0.2
164,1,0,1,2,0.1,0.2
165,1,0,1,2,0.1,0.2
166,1,0,1,2,0.1,0.2
167,1,0,1,2,0.1,0.2
168,1,0,1,2,0.1,0.2
169,1,0,1,2,0.1,0.2
170,1,0,1,2,0.1,0.2
171,1,0,1,2,0.1,0.2
172,1,0,1,2,0.1,0.2
173,1,0,1,2,0.1,0.2
174,1,0,1,2,0.1,0.2
175,1,0,1,2,0.1,0.2
176,1,0,1,2,0.1,0.2
177,1,0,1,2,0.1,0.2
178,1,0,1,2,0.1,0.2
179,1,0,1,2,0.1,0.2
180,1,0,1,2,0.1,0.2
181,1,0,1,2,0.1,0.2
182,1,0,1,2,0.1,0.2
183,1,0,1,2,0.1,0.2
184,1,0,1,2,0.1,0.2
185,1,0,1,2,0.1,0.2
186,1,0,1,2,0.1,0.2
187,1,0,1,2,0.1,0.2
188,1,0,1,2,0.1,0.2
189,1,0,1,2,0.1,0.2
190,1,0,1,2,0.1,0.2
191,1,0,1,2,0.1,0.2
192,1,0,1,2,0.1,0.2
193,1,0,1,2,0.1,0.2
194,1,0,1,2,0.1,0.2
195,1,0,1,2,0.1,0.2
196,1,0,1,2,0.1,0.2
197,1,0,1,2,0.1,0.2
198,1,0,1,2,0.1,0.2
199,1,0,1,2,0.1,0.2
200,1,0,1,2,0.1,0.2
201,1,0,1,2,0.1,0.2
202,1,0,1,2,0.1,0.2
203,1,0,1,2,0.1,0.2
204,1,0,1,2,0.1,0.2
205,1,0,1,2,0.1,0.2
206,1,0,1,2,0.1,0.2
207,1,0,1,2,0.1,0.2
208,1,0,1,2,0.1,0.2
209,1,0,1,2,0.1,0.2
210,1,0,1,2,0.1,0.2
211,1,0,1,2,0.1,0.2
212,1,0,1,2,0.1,0.2
213,1,0,1,2,0.1,0.2
214,1,0,1,2,0.1,0.2
215,1,0,1,2,0.1,0.2
216,1,0,1,2,0.1,0.2
217,1,0,1,2,0.1,0.2
218,1,0,1,2,0.1,0.2
219,1,0,1,2,0.1,0.2
220,1,0,1,2,0.1,0.2
221,1,0,1,2,0.1,0.2
222,1,0,1,2,0.1,0.2
223,1,0,1,2,0.1,0.2
224,1,0,1,2,0.1,0.2
225,1,0,1,2,0.1,0.2
226,1,0,1,2,0.1,0.2
